,tag,patterns,responses
105,requirements_of_foreign_high_school_graduates_to_bicol_university,What are the requirements for admission of students from other nations who have graduated from high schools abroad?,"['Certification of completion of a secondary curriculum where the applicant had his/her secondary education;Certification of proficiency in English based on the TOEFL score (for non-native speakers of English); Qualifying in the BUCET or any of the following International Foreign-based examination in lieu of the BUCET such as: Scholastic Aptitude Test (SAT) Advanced with a minimum combined score of 1200 in Mathematics, Critical Reading and Writing sub-test areas.']"
106,schedule_of_registration,When can I register for admission?,['Qualified applicants for admission should register within the period of registration.']
107,how_to_register_for_admission,How can I register for admission?,['Registration includes filling out the prescribed forms and paying the required fees. Students enrolled during the preceding semester including summer session are re-enrolled upon being cleared by the Dean and other officials concerned.']
108,late_registration,Can I enrol after the scheduled registration?,['No student shall be registered in any subject after the last day of late registration in the school calendar.']
109,maximum_residency_rule,"How long can I stay in Bicol University?, Maximum Residency Rule",['An undergraduate student must finish the requirements of a course in any college within a period of actual residence equivalent to a maximum of the prescribed length of the program plus one year pursuant to the other provisions of the Universal Access to Quality Tertiary Education Act of 2017.']
110,examinations,What are the types of exams?,"['Two regular written examinations, the mid-term and the final examinations, are prescribed every semester/ term. Other written, oral or practical examinations are also given at the discretion of the subject instructor.\\n Regular examinations are administered by the subject instructors with the assistance of the proctors.\\n \\n Make-up Examination\\n Examination missed for justifiable reasons may be made up within the same term at the discretion of the subject instructor concerned. ']"
111,grading_system,"What is the grading system?, Grading system, Grade conversion","['The detailed grading system is as follows:\\n', {'Adjectival Rating': {'Outstanding': ['1.0\\n', '1.1\\n', '1.2\\n', '1.3\\n', '1.4\\n'], 'Superior': ['1.5\\n', '1.6\\n', '1.7\\n'], 'Very Satifactory': ['1.8\\n', '1.9\\n', '2.0\\n', '2.1\\n', '2.2\\n', '2.3\\n', '2.4\\n', '2.5\\n'], 'Satisfactory': ['2.6\\n', '2.7\\n', '2.8\\n'], 'Fair/Average': ['2.9\\n', '3.0\\n'], 'Poor': ['3.1-4.0\\n']}, 'Equivalent': [['99-100\\n', '98\\n', '97\\n', '96\\n', '95\\n'], ['94\\n', '93\\n', '92\\n'], ['91\\n', '90\\n', '89\\n', '88\\n', '87\\n', '86\\n', '85\\n', '84\\n'], ['82-83\\n', '80-81\\n', '78-79\\n'], ['76-77\\n', '75 (Passing)\\n'], ['Below 75 Conditional (lowest possible mid-term rating)\\n'], ['Failure (lowest possible final rating)\\n \\n']]}, 'The passing grade in the Graduate School is 3.0, but a graduate student has to maintain a general weighted average of 2.0, otherwise, s/he will not be allowed to take the comprehensive examination and will subsequently be disqualified from earning the degree. A student who incurred a FAILING MARK in his/her course work may be allowed to retake the subject not more than two times.']"
112,the_grade_of_incomplete,"What is the grade of incomplete?, Grade of incomplete, INC","['An “INC” grade indicates incomplete course work and may be awarded to a graduate or an undergraduate student only when a small portion of the student’s work is incomplete and only when the student is otherwise earning a passing mark. Until removed, the “INC” is not included in the computation of the students GWA. ']"
113,the_grade_of_incomplete01,"Can INC grade be removed?, How to remove my INC grade?",['You must contact your professor on how to remove your INC grade. Student with incomplete (INC) grade of the previous semester are given one school year for completion of subjects; otherwise it will be converted to a failing grade by the College Registrar upon written instruction from the concerned professor(s).']
114,the_grade_of_incomplete02,I can't contact my professor that gave me an INC grade,"['In the event that the concerned professor(s) cannot be contacted (due to resignation, retirement, death, etc.), the Dean is empowered to make decisions for the concerned professor(s) in consultation with the Department Chair.']"
115,graduation_requirements,"What are the graduation requirements?, Graduation requirements",['A student shall be recommended for graduation only after you have satisfied all academic and other requirements prescribed for graduation. No student shall be allowed to graduate from the University unless you are in residence during the last two terms/semesters of his course.']
116,graduation_with_honors,"What qualifies as suma cum laude?, What qualifies as magna cum laude?, What qualifies as cum laude?, Qualifications for honors","[""The University shall award the following:\\nSumma Cum Laude with GWA ≤ 1.25\\nMagna Cum Laude with 1.25 < GWA ≤ 1.45\\nCum Laude with 1.45 < GWA ≤ 1.75 \\ Given that the student have carried the regular load per semester as prescribed in the curriculum for their course, have registered for formal academic credits and carried the subjects called for by the curriculum for which you is registered in a given semester. In case of a graduating student who meets the required general weighted average (GWA) but fails to meet other requirements for the graduation with honors, the award shall be 'with ACADEMIC DISTINCTION'.""]"
117,graduation_with_honors01,What are the qualifications for Academic Distinction?,"['In the computation of the final average of a graduating student who is a candidate for academic distinction, only grades/ credits earned towards the degree shall be considered, provided you have no grade lower than 3.0 in any of the subjects regardless of whether that subject was taken in the University or elsewhere. If you were a transferee, you must have completed in the Bicol University at least seventy-five (75%) of the total number of units prescribed in your curriculum and must be in residence for at least six (6) semesters/terms immediately preceding graduation. ']"
118,nonacademic_awards_or_incentives,Non-Academic Awards and Incentives for graduating students,"['The University also gives due recognition to a graduating student who excels in your academics, leadership, service and sports activities. Likewise, to winners in the regional, national competitions and to the topnotchers in board examinations.']"
119,ladderized_type_program_recognition,"Academic excellence award, Ladderized Type Program Recognition","['The University, in recognition of academic excellence among students pursuing degree courses with ladderized/ladder-type programs, shall award them the following based on the computation of the general weighted average (GWA) of subjects taken as prescribed in the ladder program you are pursuing. The awards or recognition will be given in the College Recognition Program. With highest honor with GWA ≤ 1.25. With higher honor with 1.25 < GWA ≤ 1.45, With high honor with 1.45 < GWA ≤ 1.75, Candidates for this recognition/ award shall be evaluated by the College Evaluation Committee on Graduation with Honors.']"
120,transcript_diploma,"Trascript, Diploma, Application for transcript of records, TOR, Students records","[""Since records of students are confidential, information is released only at the request of the student, or of the appropriate institutions and/or officials. Application for transcript of records must be accompanied by the student's clearance and official receipt of transcript payment.""]"
121,opening_of_cost_recovery_courses,"What are the procedures for cost recovery?, Approval of cost recovery","['The approval of requests shall adhere to the following procedures:\\n 1. Opening of courses on cost recovery basis shall be considered upon request of the following:\\n a. Graduating students with deficiency(ies) whose needed course(s) are not programmed for the semester, and\\n b. Irregular students who need to take the course to fit the mainstream of students in the appropriate curriculum year.\\n \\n 2. Request for opening of courses not aligned with the semestral course offerings based on the regular curriculum year schedule shall be done by the concerned students not later than two weeks before enrollment.\\n 3. Students’ request shall be addressed to the Dean and endorsed by the Program Adviser and/ or Department Chairperson.\\n 4. Same endorsement shall carry the Program Adviser’s or Department Chairperson’s recommendation of the Professor/ Instructor to teach the course, indicating the full student cost.\\n 5. The Professor/Instructor shall be designated by the Dean considering primarily his/ her academic preparation, teaching load which not exceed 30 units, and his/ her willingness to teach the course on cost recovery basis.\\n 6. In case of students with failures (a rating of 5.0), the faculty to be assigned to teach the requested course should not be the same faculty who gave the failing mark.\\n 7. The professor/instructor shall be compensated fully based on your hourly rate. The computation for payment of honorarium shall be as follows:\\n Hourly rate of faculty x no. of hours/ no. of students = Cost per student.\\n \\n 8. The fees shall be deposited to the College Trust Fund and shall be disbursed solely for the purpose.\\n 9. The payment shall be made out to the professors/instructors concerned following the usual procedure and accompanied by the needed documents.\\n 10. The usual supervision shall be exercised by the Deans/ Directors concerned to ensure that the students are given adequate instructional provision.']"
122,prescribed_uniform,uniform,['Students must wear the required uniform for their academic level. The design approved by the Board of Regents are disseminated upon enrollment.']
123,credit_unit,"Credit load, Credit unit, Units, Units per semester","['One unit of credit shall be at least eighteen (18) full hours of instruction per semester in the form of lecture, discussion, seminar, tutorial, or equivalent field or any combination of these forms. A substantial equivalent shall be observed for other terms such as trimestral or quarterly system.']"
124,academic_load,"Academic load, Academic load per semester, Academic load limit","['The regular academic load for undergraduate students shall be that which is prescribed in the curriculum in a semester for a certain program/course. A graduating student with satisfactory academic record may be permitted to carry an additional load of one or two subjects in your last semester, provided that the total load does not exceed the maximum of thirty-three (33) units per semester, provided further that this will not contradict with any existing policy of the University; provided finally that the student concerned is a candidate for graduation at the end of the semester that the load is allowed.\\n An additional of one (1) or two (2) non major subjects may also be allowed to students who are on Student Teaching /Practicum. During the summer term, the regular load shall be nine (9) units or that which is prescribed in the curriculum, but in justifiable cases the Dean or Director may allow a higher load of not exceeding twelve (12) units. The Dean shall limit the academic load to students who are employed in the University, whether full time or part-time.']"
125,classification_of_students,What are the Classification of Students,"['Undergraduate students are classified as regular, irregular, non-regular, and foreign. Students are also classified, for purposes of registration as First Year, Sophomore, Junior, Senior and Pre-senior.']"
126,classification_of_students01,"Who are considered as regular students?, What are regular students?, Regular Students","['A Regular Undergraduate Student is one who have organized a program of study for a bachelor’s degree, or undergraduate diploma/certificate, is registered for formal academic credits, and carries the subjects called for by the curriculum for which you are registered in a given semester.']"
127,classification_of_students02,"Who are considered as irregular students?, What are irregular students?, Irregular Students","['An Irregular Student is one who is registered for formal academic credits, but does not carry the full semester load called for by the curriculum for which you are registered in a given semester.']"
128,classification_of_students03,"Who are considered as non-regular students?, What are non-regular students?, Non-regular Students","['A Non-Regular student is one who is registered for formal academic credits, but not for a degree or is registered but does not receive formal academic credit/s for subjects taken. Classified as non-regular students are the following:\\n -Non-degree students with credits\\n -Cross registrants with credits\\n -Special students without credits.']"
129,classification_of_students04,"Who are considered as foreign students?, What are foreign students?, Foreign Students","['A Foreign Student is one who is a citizen /subject or resident of another country whose admission to the University is contingent upon the compliance of the requirements of the National Government, after qualifying for admission and submission of all the documentary and other requirements of the University.']"
130,classification_of_students05,"Who are considered as pre-senior students?, What are pre-senior students?, Pre-senior Students, Pre senio Students","['A student in a five-year degree program is classified as a pre-senior if you have completed not less than sixty (60) percent, but not more than eighty (80) percent of the total number of units required for the course. In the case of a five-year degree course/program, one is classified as a senior student if you have finished the prescribed subjects for the first, second, third, and fourth years of his curriculum, or have completed not less than eighty percent (80%) of the total number of units required for the course.']"
131,greeting,"Hi there, How are you, Is anyone there?, Hey, Hola, Hello, Good day","['Hello, thanks for asking', 'Good to see you!', 'Hi there, how can I help?']"
132,goodbye,"Bye, See you later, Goodbye, Nice chatting to you, bye, Till next time","['See you!', 'Have a nice day', 'Bye! Come back again soon.']"
133,thanks,"Thanks, Thank you, That's helpful, Awesome, thanks, Thanks for helping me","['Happy to help!', 'Any time!', 'My pleasure']"
134,noanswer,,"[""Sorry, can't understand you"", 'Please give me more info', 'Not sure I understand']"
135,options,"How you could help me?, What you can do?, What help you provide?, How you can be helpful?, What support is offered","[""Hi! I'm BUbot. I can answer your queries about Bicol University :)""]"
136,library_card_application,"How to apply for a library card?, How to get a Library Card?, What should I do to get a Library Card?, What are the requirements for getting a library card?",['You must secure an application form the unit/college librarian concerned by presenting the Certificate of Registration (COR). The library cards will then be issued in due time after the students have submitted the duly accomplished form together with two copies of recent 1x1 ID photos']
137,use_of_library_card,"How should I use the Library Card?, What is the purpose of my Library Card?, ",['Your library card shall be used as an identification and passport when entering the unit/college libraries and in borrowing book/s for overnight or over-weekend use.']
138,use_of_library_card1,"What is the validity of my Library Card?, ",['The library card issued to will be used throughout your stay in the University and is non-transferrable.']
139,borrowing_procedure,"How can I borrow a book from the Library?, How to borrow a book from the Library?",['To borrow a book you may present to the Librarian-in-charge the book with the signed book card together with the currently validated library card.']
140,borrowing_procedure1,Can I borrow a book or other materials for someone else in the Library?,"[""No, you can't borrow and/or sign for books and other library materials on behalf of someone else.""]"
141,availment_of_library_facilities,"Can I borrow other materials than books?, What other materials can I borrow?","['You can borrow other materials than books but General references like encyclopedias, dictionaries, indexes, yearbooks, handbooks, atlases, newspapers, magazines and journals are FOR ROOM USE ONLY. A Fiction book may be borrowed for a week and may be renewed for another week, unless a borrower signifies to borrow the same.']"
142,availment_of_library_facilities1,"Can I borrow dissertations, theses, manuscripts and feasibility studies?","['Yes, but they are FOR ROOM USE ONLY']"
143,availment_of_library_facilities2,"Can I photocopy dissertations, theses, manuscripts and feasibility studies?, Am I allowed to photocopy dissertations, theses, manuscripts and feasibility studies?","['No, Special collections like dissertations, theses, project feasibility studies and other rare book collections and manuscripts are NOT ALLOWED TO BE PHOTOCOPIED. You are required to comply with the copyright law.']"
144,availment_of_library_facilities3,"When should I return a borrowed book?, How many days am I allowed to keep the book I borrowed?, What time should I return the borrowed books?",['A Reserved book may be borrowed for overnight or week-end use at the last hour before closing time to be returned on or before 9:00 A.M. the following school day']
145,availment_of_library_facilities4,"How many books can I borrow at once?, Can I borrow more than one book?",['You can borrow a maximum of two (2) Non-reserved Circulation books for overnight or weekend use to be returned on or before 9:00 A.M. the following school day.']
