question,answer,final_answer,dynamic
55,BUPC Associate Dean,ms. maria mercedes a. remon is the polangui campus associate dean.,Ms. Maria Mercedes A. Remon is the Polangui Campus Associate Dean.,1
56,Ms. Maria Mercedes A. Remon,she is the polangui campus associate dean.,She is the Polangui Campus Associate Dean.,1
57,Jesse M. Robredo Institute of Governance and Development Associate Director,dr. rosemarie t. frias is the jesse m. robredo institute of governance and development associate director,Dr. Rosemarie T. Frias is the Jesse M. Robredo Institute of Governance and Development Associate Director,1
58,Dr. Rosemarie T. Frias,she is the jesse m. robredo institute of governance and development associate director.,She is the Jesse M. Robredo Institute of Governance and Development Associate Director.,1
59,Chief Presidential Management Staff,dr. reina o. habalo is the chief presidential mgt. staff of the presidential management staff office.,Dr. Reina O. Habalo is the Chief Presidential Mgt. Staff of the Presidential Management Staff Office.,1
60,Dr. Reina O. Habalo,she is the chief presidential mgt. staff of the presidential management staff office.,She is the Chief Presidential Mgt. Staff of the Presidential Management Staff Office.,1
61,Legal Officer of the Legal Affairs Office,atty. daryl a. redoblado is the legal officer of the legal affairs office.,Atty. Daryl A. Redoblado is the Legal Officer of the Legal Affairs Office.,1
62,Atty. Daryl A. Redoblado,he is the legal officer of the legal affairs office.,He is the Legal Officer of the Legal Affairs Office.,1
63,Chief of Internal Audit Services,mr. cyrus a. barrameda is the chief of internal audit services.,Mr. Cyrus A. Barrameda is the Chief of Internal Audit Services.,1
64,Mr. Cyrus A. Barrameda,he is the chief of internal audit services.,He is the Chief of Internal Audit Services.,1
65,Director of International Relations Office,dr. dimson m. rivero is the director of international relations office.,Dr. Dimson M. Rivero is the Director of International Relations Office.,1
66,Dr. Dimson M. Rivero,he is the director of international relations office.,He is the Director of International Relations Office.,1
67,Director of ICTO,dr. aris j. ordoñez is the director of information & communication technology office.,Dr. Aris J. Ordoñez is the Director of Information & Communication Technology Office.,1
68,Dr. Aris J. Ordoñez.,he is the director of information & communication technology office.,He is the Director of Information & Communication Technology Office.,1
69,Director of Communication and Public Relations Office,dr. renelyn e. bautista is the director of communication and public relations office.,Dr. Renelyn E. Bautista is the Director of Communication and Public Relations Office.,1
70,Dr. Renelyn E. Bautista,she is the director of communication and public relations office.,She is the Director of Communication and Public Relations Office.,1
71,Director of Alumni Relations Office,dr. charina j. cipcon is the director of alumni relations office.,Dr. Charina J. Cipcon is the Director of Alumni Relations Office.,1
72,Dr. Charina J. Cipcon,she is the director of alumni relations office.,She is the Director of Alumni Relations Office.,1
73,Vice President for Administration and Finance,atty. joseph l. bartolata is the vice president for administration and finance.,Atty. Joseph L. Bartolata is the Vice President for Administration and Finance.,1
74,Atty. Joseph L. Bartolata,he is the vice president for administration and finance.,He is the Vice President for Administration and Finance.,1
75,Chief Administrative Officer of the Administrative Services,atty. norly p. reyes is the chief administrative officer of the administrative services.,Atty. Norly P. Reyes is the Chief Administrative Officer of the Administrative Services.,1
76,Atty. Norly P. Reyes,he is the chief administrative officer of the administrative services.,He is the Chief Administrative Officer of the Administrative Services.,1
77,Supervising Administrative Officer of Human Resource Management and Development Office,dr. jennifer t. barrameda is the supervising administrative officer of human resource management and development office.,Dr. Jennifer T. Barrameda is the Supervising Administrative Officer of Human Resource Management and Development Office.,1
78,Dr. Jennifer T. Barrameda,she is the supervising administrative officer of human resource management and development office.,She is the Supervising Administrative Officer of Human Resource Management and Development Office.,1
79,Director of Procurement Management Office,dr. ma. julieta b. borres is the director of procurement management office.,Dr. Ma. Julieta B. Borres is the Director of Procurement Management Office.,1
80,Dr. Ma. Julieta B. Borres,she is the director of procurement management office.,She is the Director of Procurement Management Office.,1
81,Head of Supply and Property Management Office,mr. benjamin payonga is the head of supply and property management office.,Mr. Benjamin Payonga is the Head of Supply and Property Management Office.,1
82,Mr. Benjamin Payonga,he is the head of supply and property management office.,He is the Head of Supply and Property Management Office.,1
83,Head of the Security Services Office,mr. rolly gonzales is the head of the security services office.,Mr. Rolly Gonzales is the Head of the Security Services Office.,1
84,Mr. Rolly Gonzales,he is the head of the security services office.,He is the Head of the Security Services Office.,1
85,Head of General Services Office,mr. jessel opeña is the head of general services office.,Mr. Jessel Opeña is the Head of General Services Office.,1
86,Mr. Jessel Opeña,he is the head of general services office.,He is the Head of General Services Office.,1
87,Chief Administrative Officer of the Financial Management Division,atty. loyd p. casasis is the chief administrative officer of the financial management division.,Atty. Loyd P. Casasis is the Chief Administrative Officer of the Financial Management Division.,1
88,Atty. Loyd P. Casasis,he is the chief administrative officer of the financial management division.,He is the Chief Administrative Officer of the Financial Management Division.,1
89,Budget Officer of the Office of the Vice President for Administration and Finance,ms. crisanta a. botin is the budget officer of the office of the vice president for administration and finance.,Ms. Crisanta A. Botin is the Budget Officer of the Office of the Vice President for Administration and Finance.,1
90,Ms. Crisanta A. Botin,she is the budget officer of the office of the vice president for administration and finance.,She is the Budget Officer of the Office of the Vice President for Administration and Finance.,1
91,Chief Accountant of the Office of the Vice President for Administration and Finance,mr. joseph s. lopera is the chief accountant of the office of the vice president for administration and finance.,Mr. Joseph S. Lopera is the Chief Accountant of the Office of the Vice President for Administration and Finance.,1
92,Mr. Joseph S. Lopera,he is the chief accountant of the office of the vice president for administration and finance.,He is the Chief Accountant of the Office of the Vice President for Administration and Finance.,1
93,University Cashier,ms. cheryl del prado is the university cashier.,Ms. Cheryl Del Prado is the University Cashier.,1
94,Ms. Cheryl Del Prado,she is the university cashier.,She is the University Cashier.,1
95,Coordinator of University Sports Development Program,lyndon bailon is the coordinator of university sports development program.,Lyndon Bailon is the Coordinator of University Sports Development Program.,1
96,Lyndon Bailon,he is the coordinator of university sports development program.,He is the Coordinator of University Sports Development Program.,1
97,Director of Internal Quality Assurance Office and Regional Zonal Computerization Center,dr. leonila b. barbacena is the director of internal quality assurance office and regional zonal computerization center.,Dr. Leonila B. Barbacena is the Director of Internal Quality Assurance Office and Regional Zonal Computerization Center.,1
98,Dr. Leonila B. Barbacena,she is the director of internal quality assurance office and regional zonal computerization center.,She is the Director of Internal Quality Assurance Office and Regional Zonal Computerization Center.,1
99,Dean of the University Admissions Office,hennie lomibao is the dean of the university admissions office.,Hennie Lomibao is the Dean of the University Admissions Office.,1
100,Hennie Lomibao,she is the dean of the university admissions office.,She is the Dean of the University Admissions Office.,1
101,Registrar of the University Registrar's Office,dr. lany l. maceda is the registrar iv of the university registrar's office.,Dr. Lany L. Maceda is the Registrar IV of the University Registrar's Office.,1
102,Dr. Lany L. Maceda,she is the registrar iv of the university registrar's office.,She is the Registrar IV of the University Registrar's Office.,1
103,Dean of the Office of Student Affairs and Services,dr. baby boy benjamin d. nebres iii is the dean of the office of student affairs and services.,Dr. Baby Boy Benjamin D. Nebres III is the Dean of the Office of Student Affairs and Services.,1
104,Dr. Baby Boy Benjamin D. Nebres III,he is the dean of the office of student affairs and services.,He is the Dean of the Office of Student Affairs and Services.,1
105,University Librarian,ms. glenda aurora s. julianda is the university librarian.,Ms. Glenda Aurora S. Julianda is the University Librarian.,1
106,Ms. Glenda Aurora S. Julianda,she is the university librarian.,She is the University Librarian.,1
107,Head of the University Health Services,dr. leo n. nuyles is the head of the university health services.,Dr. Leo N. Nuyles is the Head of the University Health Services.,1
108,Dr. Leo N. Nuyles,he is the head of the university health services.,He is the Head of the University Health Services.,1
109,Director of Language Center,dr. irene r. moral is the director of language center.,Dr. Irene R. Moral is the Director of Language Center.,1
110,Dr. Irene R. Moral,she is the director of language center.,She is the Director of Language Center.,1
111,NSTP Director,prof. gerardo o. ocfemia is the director of national service training program.,Prof. Gerardo O. Ocfemia is the Director of National Service Training Program.,1
112,Prof. Gerardo O. Ocfemia,he is the director of national service training program.,He is the Director of National Service Training Program.,1
113,"Director of Research, Development and Management Division","prof. ronnel r. dioneda sr. is the director of research, development and management division.","Prof. Ronnel R. Dioneda Sr. is the Director of Research, Development and Management Division.",1
114,Prof. Ronnel R. Dioneda Sr.,"he is the  director of research, development and management division.","He is the  Director of Research, Development and Management Division.",1
115,Officer-In-Charge for the Extension Management Division,prof. rowena f. zoilo is the officer-in-charge for the extension management division.,Prof. Rowena F. Zoilo is the Officer-In-Charge for the Extension Management Division.,1
116,Prof. Rowena F. Zoilo,she is the officer-in-charge for the extension management division.,She is the Officer-In-Charge for the Extension Management Division.,1
117,Director of Publication and Knowledge Management Division,dr. benedicto b. balilo jr. is the director of publication and knowledge management division.,Dr. Benedicto B. Balilo Jr. is the Director of Publication and Knowledge Management Division.,1
118,PDr. Benedicto B. Balilo Jr.,he is the director of publication and knowledge management division.,He is the Director of Publication and Knowledge Management Division.,1
119,Director of Intellectual Property Management Division,dr. nicanor b. balbin is the director of intellectual property management division.,Dr. Nicanor B. Balbin is the Director of Intellectual Property Management Division.,1
120,Dr. Nicanor B. Balbin,he is the director of intellectual property management division.,He is the Director of Intellectual Property Management Division.,1
121,Director of BU Regional Center for Food Safety and Quality Assurance,prof. maria crispina p. baltazar is the director of bu regional center for food safety and quality assurance.,Prof. Maria Crispina P. Baltazar is the Director of BU Regional Center for Food Safety and Quality Assurance.,1
122,Prof. Maria Crispina P. Baltazar,she is the director of bu regional center for food safety and quality assurance.,She is the Director of BU Regional Center for Food Safety and Quality Assurance.,1
123,Director of BU Center for  Technology Commercialization and Enterprise Development,dr. arnulfo p. malinis is the director of bu center for  technology commercialization and enterprise development.,Dr. Arnulfo P. Malinis is the Director of BU Center for  Technology Commercialization and Enterprise Development.,1
124,Dr. Arnulfo P. Malinis,he is the director of bu center for  technology commercialization and enterprise development.,He is the Director of BU Center for  Technology Commercialization and Enterprise Development.,1
125,Director of BU Center for Teaching Excellence,dr. rebecca rosario o. bercasio is the director of bu center for teaching excellence.,Dr. Rebecca Rosario O. Bercasio is the Director of BU Center for Teaching Excellence.,1
126,Dr. Rebecca Rosario O. Bercasio,she is the director of bu center for teaching excellence.,She is the Director of BU Center for Teaching Excellence.,1
127,Director of BU Center for Gender  and Development,dr. noel rafer is the director of bu center for gender  and development.,Dr. Noel Rafer is the Director of BU Center for Gender  and Development.,1
128,Dr. Noel Rafer,he is the director of bu center for gender  and development.,He is the Director of BU Center for Gender  and Development.,1
129,Director of Director of BU Regional Center for Science and Mathematics Education,dr. maria eden ante is the director of bu regional center for science and mathematics education.,Dr. Maria Eden Ante is the Director of BU Regional Center for Science and Mathematics Education.,1
130,Dr. Maria Eden Ante,she is the director of bu regional center for science and mathematics education.,She is the Director of BU Regional Center for Science and Mathematics Education.,1
131,Director of Director of BU Center for Policy Studies and Development,prof. erwin e. torres is the director of bu center  for policy studies and development.,Prof. Erwin E. Torres is the Director of BU Center  for Policy Studies and Development.,1
132,Prof. Erwin E. Torres,he is the director of bu center for policy studies and development.,He is the Director of BU Center for Policy Studies and Development.,1
133,Director of Director of BU Regional Food Innovation and Commercialization Center,prof. ma. janesa a. reyes is the director of bu regional food innovation and commercialization center.,Prof. Ma. Janesa A. Reyes is the Director of BU Regional Food Innovation and Commercialization Center.,1
134,Prof. Ma. Janesa A. Reyes,she is the director of bu regional food innovation and commercialization center.,She is the Director of BU Regional Food Innovation and Commercialization Center.,1
135,Director of Planning and Development Office,prof. alwin joseph m. maceres is the director of planning and development office.,Prof. Alwin Joseph M. Maceres is the Director of Planning and Development Office.,1
136,Prof. Alwin Joseph M. Maceres,he is the director of planning and development office.,He is the Director of Planning and Development Office.,1
137,Director of Physical Development and Maintenance Office,engr. ulysses r. bello is the director of physical development and maintenance office.,Engr. Ulysses R. Bello is the Director of Physical Development and Maintenance Office.,1
138,Engr. Ulysses R. Bello,he is the director of physical development and maintenance office.,He is the Director of Physical Development and Maintenance Office.,1
139,Director of Special Project Preparation Office,prof. carlos v. cortez jr. is the director of special project preparation office.,Prof. Carlos V. Cortez Jr. is the Director of Special Project Preparation Office.,1
140,Prof. Carlos V. Cortez Jr.,he is the director of special project preparation office.,He is the Director of Special Project Preparation Office.,1
141,Director of Resource Generation and Physical Assets Management Office,engr. ana r. abante is the director of resource generation and physical assets management office.,Engr. Ana R. Abante is the Director of Resource Generation and Physical Assets Management Office.,1
142,Engr. Ana R. Abante,she is the director of resource generation and physical assets management office.,She is the Director of Resource Generation and Physical Assets Management Office.,1
143,Director of Business Affairs Office,dr. viola l. amano is the director of business affairs office.,Dr. Viola L. Amano is the Director of Business Affairs Office.,1
144,Dr. Viola L. Amano,she is the director of business affairs office.,She is the Director of Business Affairs Office.,1
145,How can I contact the president of Bicol University,you can reach the president of bicol university through his telephone no. (052) 480-0167  or you can email at these addresses: ammascarinas@bicol-u.edu.ph;  bupresident@bicol-u.edu.ph; and op@bicol-u.edu.ph,You can reach the president of Bicol University through his Telephone No. (052) 480-0167  or you can email at these addresses: ammascarinas@bicol-u.edu.ph;  bupresident@bicol-u.edu.ph; and op@bicol-u.edu.ph,1
146,Contact Details president of BU President,you can reach the president of bicol university through his telephone no. (052) 480-0167  or you can email at these addresses: ammascarinas@bicol-u.edu.ph;  bupresident@bicol-u.edu.ph; and op@bicol-u.edu.ph,You can reach the president of Bicol University through his Telephone No. (052) 480-0167  or you can email at these addresses: ammascarinas@bicol-u.edu.ph;  bupresident@bicol-u.edu.ph; and op@bicol-u.edu.ph,1
147,email of BU president,"the email address of the president of bicol university are the following: ammascarinas@bicol-u.edu.ph;  bupresident@bicol-u.edu.ph, and op@bicol-u.edu.ph","The email address of the President of Bicol University are the following: ammascarinas@bicol-u.edu.ph;  bupresident@bicol-u.edu.ph, and op@bicol-u.edu.ph",1
148,VP for Administration and Finance,the vp for administrative and finance is atty. joseph l. bartolata,The VP for Administrative and Finance is Atty. Joseph L. Bartolata,1
149,bu vpa,the vp for administrative and finance is atty. joseph l. bartolata,The VP for Administrative and Finance is Atty. Joseph L. Bartolata,1
150,vpa,the vp for administrative and finance is atty. joseph l. bartolata,The VP for Administrative and Finance is Atty. Joseph L. Bartolata,1
151,Atty. Joseph L. Bartolata,the vp for administrative and finance is atty. joseph l. bartolata,The VP for Administrative and Finance is Atty. Joseph L. Bartolata,1
152,Joseph L. Bartolata,the vp for administrative and finance is atty. joseph l. bartolata,The VP for Administrative and Finance is Atty. Joseph L. Bartolata,1
153,VP for Academic Affairs,the vp for academic affairs is dr. amelia a. dorosan,The VP for Academic affairs is Dr. Amelia A. Dorosan,1
154,bu vpaa,the vp for academic affairs is dr. amelia a. dorosan,The VP for Academic affairs is Dr. Amelia A. Dorosan,1
155,vpaa,the vp for academic affairs is dr. amelia a. dorosan,The VP for Academic affairs is Dr. Amelia A. Dorosan,1
156,Dr. Amelia A. Dorosan,the vp for academic affairs is dr. amelia a. dorosan,The VP for Academic affairs is Dr. Amelia A. Dorosan,1
157,Amelia A. Dorosan,the vp for academic affairs is dr. amelia a. dorosan,The VP for Academic affairs is Dr. Amelia A. Dorosan,1
158,VP for Planning and Development,the vp for planning and development is prof. jerry s. bigornia,The VP for Planning and Development is Prof. Jerry S. Bigornia,1
159,bu vprgam,the vp for planning and development is prof. jerry s. bigornia,The VP for Planning and Development is Prof. Jerry S. Bigornia,1
160,Prof. Jerry S. Bigornia,the vp for planning and development is prof. jerry s. bigornia,The VP for Planning and Development is Prof. Jerry S. Bigornia,1
161,Jerry S. Bigornia,the vp for planning and development is prof. jerry s. bigornia,The VP for Planning and Development is Prof. Jerry S. Bigornia,1
162,VP for Research Development and Extension,the vp for research development and extension is dr. luis amano,The VP for Research Development and Extension is Dr. Luis Amano,1
163,Dr. Luis Amano,the vp for research development and extension is dr. luis amano,The VP for Research Development and Extension is Dr. Luis Amano,1
164,Luis Amano,the vp for research development and extension is dr. luis amano,The VP for Research Development and Extension is Dr. Luis Amano,1
165,Acting University & Board Secretary,atty. norly p. reyes is the acting university and board secretary. he is also the chief of administrative services division,Atty. Norly P. Reyes is the acting University and Board Secretary. He is also the Chief of Administrative Services Division,1
166,Atty. Norly P.Reyes,atty. norly p. reyes is the acting university and board secretary. he is also the chief of administrative services division,Atty. Norly P. Reyes is the acting University and Board Secretary. He is also the Chief of Administrative Services Division,1
167,Norly Reyes,atty. norly p. reyes is the acting university and board secretary. he is also the chief of administrative services division,Atty. Norly P. Reyes is the acting University and Board Secretary. He is also the Chief of Administrative Services Division,1
168,"Chief, Administrative Services Division",atty. norly p. reyes is the chief of administrative services division. he is also the acting university and board secretary,Atty. Norly P. Reyes is the Chief of Administrative Services Division. He is also the acting University and Board Secretary,1
169,How can I contact the VP for Administration and Finance,you can reach the vp for administration and finance of bicol university through his telephone no. (052) 480-0176  or you can email at this addresses: bu-vpa@bicol-u.edu.ph,You can reach the VP for Administration and Finance of Bicol University through his Telephone No. (052) 480-0176  or you can email at this addresses: bu-vpa@bicol-u.edu.ph,1
170,Contact Details of VP for Administration and Finance,you can reach the vp for administration and finance of bicol university through his telephone no. (052) 480-0176  or you can email at this addresses: bu-vpa@bicol-u.edu.ph,You can reach the VP for Administration and Finance of Bicol University through his Telephone No. (052) 480-0176  or you can email at this addresses: bu-vpa@bicol-u.edu.ph,1
171,Contact details of Atty. Joseph L. Bartolata,you can reach the vp for administration and finance of bicol university through his telephone no. (052) 480-0176  or you can email at this addresses: bu-vpa@bicol-u.edu.ph,You can reach the VP for Administration and Finance of Bicol University through his Telephone No. (052) 480-0176  or you can email at this addresses: bu-vpa@bicol-u.edu.ph,1
172,email of VP of Administration and Finance,you can email the vp of administration and finance at this address: bu-vpa@bicol-u.edu.ph: ,you can email the VP of Administration and Finance at this address: bu-vpa@bicol-u.edu.ph: ,1
173,email of Atty. Joseph L. Bartolata,you can email the vp of administration and finance at this address: bu-vpa@bicol-u.edu.ph: ,you can email the VP of Administration and Finance at this address: bu-vpa@bicol-u.edu.ph: ,1
174,How can I contact the VP for Academic Affairs,you can reach the vp for academic affairs of bicol university through her telephone no. (052) 480-0179 or you can email at these addresses: aadorosan@@bicol-u.edu.ph; bu-vpaa@bicol-u.edu.ph,You can reach the VP for Academic Affairs of Bicol University through her Telephone No. (052) 480-0179 or you can email at these addresses: aadorosan@@bicol-u.edu.ph; bu-vpaa@bicol-u.edu.ph,1
175,Contact Details VP for Academic Affairs,you can reach the vp for academic affairs of bicol university through her telephone no. (052) 480-0179 or you can email at these addresses: aadorosan@@bicol-u.edu.ph; bu-vpaa@bicol-u.edu.ph,You can reach the VP for Academic Affairs of Bicol University through her Telephone No. (052) 480-0179 or you can email at these addresses: aadorosan@@bicol-u.edu.ph; bu-vpaa@bicol-u.edu.ph,1
176,Contact details of Dr. Amelia A. Dorosan,you can reach the vp for academic affairs of bicol university through her telephone no. (052) 480-0179 or you can email at these addresses: aadorosan@@bicol-u.edu.ph; bu-vpaa@bicol-u.edu.ph,You can reach the VP for Academic Affairs of Bicol University through her Telephone No. (052) 480-0179 or you can email at these addresses: aadorosan@@bicol-u.edu.ph; bu-vpaa@bicol-u.edu.ph,1
177,email of VP for Academic Affairs,you can email the vp for academic affairs at these addresses: aadorosan@@bicol-u.edu.ph; bu-vpaa@bicol-u.edu.ph,you can email the VP for Academic affairs at these addresses: aadorosan@@bicol-u.edu.ph; bu-vpaa@bicol-u.edu.ph,1
178,email of Dr. Amelia A. Dorosan,you can email the vp for academic affairs at these addresses: aadorosan@@bicol-u.edu.ph; bu-vpaa@bicol-u.edu.ph,you can email the VP for Academic affairs at these addresses: aadorosan@@bicol-u.edu.ph; bu-vpaa@bicol-u.edu.ph,1
179,How can I contact the VP for Planning and Development,you can reach the vp for planning and development of bicol university through his telephone no. (052) 820-6103 or you can email at these addresses: jsbigornia@bicol-u.edu.ph; bu-vprgam@bicol-u.edu.ph,You can reach the VP for Planning and Development of Bicol University through his Telephone No. (052) 820-6103 or you can email at these addresses: jsbigornia@bicol-u.edu.ph; bu-vprgam@bicol-u.edu.ph,1
180,Contact Details VP for Planning and Development,you can reach the vp for planning and development of bicol university through his telephone no. (052) 820-6103 or you can email at these addresses: jsbigornia@bicol-u.edu.ph; bu-vprgam@bicol-u.edu.ph,You can reach the VP for Planning and Development of Bicol University through his Telephone No. (052) 820-6103 or you can email at these addresses: jsbigornia@bicol-u.edu.ph; bu-vprgam@bicol-u.edu.ph,1
